Date,Dividends
2003-09-15 00:00:00-04:00,0.001333
2005-09-26 00:00:00-04:00,0.009667
2006-06-23 00:00:00-04:00,0.012333
2006-09-27 00:00:00-04:00,0.016667
2006-12-21 00:00:00-05:00,0.003333
2007-03-26 00:00:00-04:00,0.021667
2007-06-29 00:00:00-04:00,0.030667
2007-09-26 00:00:00-04:00,0.027
2007-12-27 00:00:00-05:00,0.025
2008-06-23 00:00:00-04:00,0.046667
2008-12-22 00:00:00-05:00,0.083
2009-06-22 00:00:00-04:00,0.042333
2009-12-21 00:00:00-05:00,0.074
2010-06-21 00:00:00-04:00,0.071667
2011-03-25 00:00:00-04:00,0.029667
2011-06-23 00:00:00-04:00,0.035667
2011-09-26 00:00:00-04:00,0.042
2011-12-22 00:00:00-05:00,0.031333
2012-03-26 00:00:00-04:00,0.035
2012-06-19 00:00:00-04:00,0.039333
2012-09-25 00:00:00-04:00,0.078333
2012-12-19 00:00:00-05:00,0.062667
2013-03-25 00:00:00-04:00,0.066333
2013-06-26 00:00:00-04:00,0.043667
2013-09-24 00:00:00-04:00,0.100333
2013-12-23 00:00:00-05:00,0.076333
2014-03-25 00:00:00-04:00,0.069667
2014-06-24 00:00:00-04:00,0.080667
2014-09-24 00:00:00-04:00,0.08
2014-12-24 00:00:00-05:00,0.253667
2015-03-25 00:00:00-04:00,0.086333
2015-06-24 00:00:00-04:00,0.085
2015-09-25 00:00:00-04:00,0.149333
2015-12-24 00:00:00-05:00,0.064333
2016-03-23 00:00:00-04:00,0.092
2016-06-21 00:00:00-04:00,0.099667
2016-09-26 00:00:00-04:00,0.152333
2016-12-21 00:00:00-05:00,0.096667
2017-03-24 00:00:00-04:00,0.117667
2017-06-27 00:00:00-04:00,0.12
2017-09-26 00:00:00-04:00,0.166333
2017-12-19 00:00:00-05:00,0.105667
2018-03-22 00:00:00-04:00,0.125
2018-06-26 00:00:00-04:00,0.206667
2018-09-26 00:00:00-04:00,0.272333
2018-12-17 00:00:00-05:00,0.113
2019-03-20 00:00:00-04:00,0.173333
2019-06-17 00:00:00-04:00,0.252333
2019-09-24 00:00:00-04:00,0.32
2019-12-16 00:00:00-05:00,0.287333
2020-03-25 00:00:00-04:00,0.232
2020-06-15 00:00:00-04:00,0.187667
2020-09-23 00:00:00-04:00,0.356333
2020-12-14 00:00:00-05:00,0.249
2021-03-25 00:00:00-04:00,0.252
2021-06-10 00:00:00-04:00,0.170667
2021-09-24 00:00:00-04:00,0.385667
2021-12-13 00:00:00-05:00,0.291
2021-12-30 00:00:00-05:00,0.051667
2022-03-24 00:00:00-04:00,0.291667
2022-06-09 00:00:00-04:00,0.209333
2022-09-26 00:00:00-04:00,0.600667
2022-12-13 00:00:00-05:00,0.354
2023-03-23 00:00:00-04:00,0.357333
2023-06-07 00:00:00-04:00,0.217
2023-09-26 00:00:00-04:00,0.555333
2023-12-20 00:00:00-05:00,0.374333
2024-03-21 00:00:00-04:00,0.225
2024-06-11 00:00:00-04:00,0.31
2024-09-25 00:00:00-04:00,0.552
2024-12-17 00:00:00-05:00,0.358
2025-03-18 00:00:00-04:00,0.261
2025-06-16 00:00:00-04:00,0.483
