Date,Dividends
2007-06-15 00:00:00-04:00,0.045667
2007-12-21 00:00:00-05:00,0.006667
2008-06-20 00:00:00-04:00,0.223667
2008-12-19 00:00:00-05:00,0.002333
2009-03-20 00:00:00-04:00,0.05
2009-12-18 00:00:00-05:00,0.000667
2012-12-21 00:00:00-05:00,0.065667
2013-03-15 00:00:00-04:00,0.014667
2013-06-21 00:00:00-04:00,0.017333
2013-09-20 00:00:00-04:00,0.029
2013-12-20 00:00:00-05:00,0.012667
2014-03-21 00:00:00-04:00,0.111
2014-06-20 00:00:00-04:00,0.205333
2014-09-19 00:00:00-04:00,0.187667
2014-12-19 00:00:00-05:00,0.163667
2015-03-20 00:00:00-04:00,0.081667
2015-06-19 00:00:00-04:00,0.146
2015-09-18 00:00:00-04:00,0.05
2015-12-18 00:00:00-05:00,0.149
2016-03-18 00:00:00-04:00,0.058
2016-06-17 00:00:00-04:00,0.046
2016-09-16 00:00:00-04:00,0.031
2016-12-16 00:00:00-05:00,0.018
2017-03-17 00:00:00-04:00,0.02
2017-06-16 00:00:00-04:00,0.11
2017-09-15 00:00:00-04:00,0.037
2017-12-15 00:00:00-05:00,0.035
2018-03-16 00:00:00-04:00,0.059
2018-06-15 00:00:00-04:00,0.058
2018-09-21 00:00:00-04:00,0.073
2018-12-21 00:00:00-05:00,0.012
2019-09-20 00:00:00-04:00,0.003
2020-06-22 00:00:00-04:00,0.017
2020-09-21 00:00:00-04:00,0.089
2020-12-21 00:00:00-05:00,0.176
2021-03-22 00:00:00-04:00,0.04
2023-06-20 00:00:00-04:00,0.003
2023-12-18 00:00:00-05:00,0.014
2024-06-24 00:00:00-04:00,0.115
2024-09-23 00:00:00-04:00,0.015
2024-12-23 00:00:00-05:00,0.003
2025-03-24 00:00:00-04:00,0.005
2025-06-23 00:00:00-04:00,0.007
